Sample,Phi (degrees),Peak Name,Peak Center (Theta),Tilt Angle (Chi),FWHM (degrees),Net Height,Net Area (cts deg),Area/Base Ratio
SH-124-B3,180,Peak 1b (Tilt),10.400000000000002,-4.305190961847446,0.6499799999999999,611.6125935131163,423.1315759256231,0.00471216371056351
SH-124-B3,180,Peak 2a (Tilt),11.815508415286725,-2.8896825465607225,0.0,0.0,0.0,0.0
SH-124-B3,180,Peak 2b (Tilt),12.54138268496808,-2.1638082768793687,0.0,0.0,0.0,0.0
SH-124-B3,180,Peak 3 (Near-specular),15.256572886435919,0.5513819245884708,0.0,0.0,0.0,0.0
SH-124-B3,180,Peak 4 (Near-specular),16.113165377462856,1.4079744156154081,0.0,0.0,0.0,0.0
SH-124-B3,180,Minor Peak A (Tilt),16.851806821583793,2.146615859736345,0.0,0.0,0.0,0.0
SH-124-B3,180,Minor Peak B (Tilt),17.899999999999995,3.194809038152547,0.0,0.0,0.0,0.0
SH-124-B3,180,Peak 5 (Tilt),23.172468170208454,8.467277208361006,0.0,0.0,0.0,0.0
SH-125-A,0,Peak 1 (Tilt),10.799999999999999,-3.9059553580517186,0.0,0.0,0.0,0.0
SH-125-A,0,Peak 2a (Tilt),11.984235377342301,-2.721719980709416,0.6499799999999999,784.1178135387873,542.4757594480528,0.003808494535568488
SH-125-A,0,Peak 2b (Tilt),12.99923335778164,-1.7067220002700783,0.0,0.0,0.0,0.0
SH-125-A,0,Peak 3 (Specular),14.999999999999998,0.2940446419482807,0.6499799999999999,808.4588045217905,559.3155727276802,0.004894516383186648
SH-125-A,0,Minor Peak A (Tilt),16.800000000000004,2.0940446419482868,0.6499799999999999,662.3847070137359,458.2572169383292,0.004478283474216637
SH-125-A,0,Minor Peak B (Tilt),17.3611987692011,2.6552434111493817,0.0,0.0,0.0,0.0
SH-125-A,0,Peak 4 (Tilt),22.878887363404687,8.172932005352969,0.6499799999999999,568.3433527564507,393.1966428901403,0.005168629077308107
SH-125-A,30,Peak 1 (Tilt),10.79999999995533,-3.8952528684304504,0.0,0.0,0.0,0.0
SH-125-A,30,Peak 2a (Tilt),12.29999999438926,-2.3952528739965206,0.6499799999999999,666.6911581615842,461.23654646843096,0.0033926191687427883
SH-125-A,30,Peak 2b (Tilt),13.239995042776902,-1.4552578256088786,0.6499799833370059,774.449189646504,535.7867074095896,0.004236965647762334
SH-125-A,30,Peak 3 (Specular),14.514528851951734,-0.18072401643404667,0.649979982419319,899.6850693318373,622.4285682864784,0.005386226486818228
SH-125-A,30,Minor Peak A (Tilt),16.800000000007973,2.104747131622192,0.0,0.0,0.0,0.0
SH-125-A,30,Minor Peak B (Tilt),17.899960104371214,3.204707235985433,0.0,0.0,0.0,0.0
SH-125-A,30,Peak 4 (Tilt),22.716311774188526,8.021058905802745,0.0,0.0,0.0,0.0
SH-125-A,60,Peak 1 (Tilt),9.004129957154428,-5.6813932363576765,0.0,0.0,0.0,0.0
SH-125-A,60,Peak 2a (Tilt),11.99719626756505,-2.688326925947054,0.33450185776991453,1090.5675763769195,388.28457524908123,0.004233184115551428
SH-125-A,60,Peak 2b (Tilt),13.514626611280242,-1.1708965822318618,0.6320387171094349,2392.549934038535,1609.5471972123512,0.01972825220585756
SH-125-A,60,Peak 3 (Specular),14.373405164173537,-0.312118029338567,0.6293756127930302,2342.863695704312,1569.480615692605,0.020434607699070354
SH-125-A,60,Minor Peak A (Tilt),16.82070046905511,2.1351772755430076,0.6412321592882373,2136.5516821869073,1458.2356805730356,0.022132517106906974
SH-125-A,60,Minor Peak B (Tilt),17.674521294683508,2.988998101171404,0.6307814147385205,1481.0653989627642,994.3794660061885,0.015834540192299743
SH-125-A,60,Peak 4 (Tilt),23.18850832847908,8.502985134966977,0.0,0.0,0.0,0.0
SH-125-A,90,Peak 1 (Tilt),10.79999999549149,-3.879242343221998,0.0,0.0,0.0,0.0
SH-125-A,90,Peak 2a (Tilt),12.299999445140928,-2.3792428935725596,0.0,0.0,0.0,0.0
SH-125-A,90,Peak 2b (Tilt),13.214781494894256,-1.4644608438192321,0.2247613733917073,870.1711792405465,208.1734764520038,0.0023032848392748185
SH-125-A,90,Peak 3 (Specular),14.068644479158309,-0.6105978595551793,0.6497937410156094,1189.34065249099,822.5850460815313,0.00967786857212607
SH-125-A,90,Minor Peak A (Tilt),16.800883525901053,2.1216411871875653,0.649719427783735,845.3607098799731,584.6109356795871,0.008178561175351599
SH-125-A,90,Minor Peak B (Tilt),17.66221380941038,2.982971470696894,0.6406795700674666,1263.8003751645253,861.8235912441586,0.012655604077711843
SH-125-A,90,Peak 4 (Tilt),23.173679202455876,8.494436863742388,0.0,0.0,0.0,0.0
SH-125-A,120,Peak 1 (Tilt),10.782346357637143,-3.9307244832273422,0.0,0.0,0.0,0.0
SH-125-A,120,Peak 2a (Tilt),11.826882095497679,-2.886188745366807,0.0,0.0,0.0,0.0
SH-125-A,120,Peak 2b (Tilt),12.648702808530212,-2.064368032334274,0.0,0.0,0.0,0.0
SH-125-A,120,Peak 3 (Specular),13.872091913830065,-0.8409789270344206,0.0,0.0,0.0,0.0
SH-125-A,120,Minor Peak A (Tilt),16.829291417026393,2.1162205761619077,0.0,0.0,0.0,0.0
SH-125-A,120,Minor Peak B (Tilt),17.68080769844643,2.9677368575819436,0.0,0.0,0.0,0.0
SH-125-A,120,Peak 4 (Tilt),22.570183967649587,7.8571131267851015,0.0,0.0,0.0,0.0
SH-125-A,150,Peak 1 (Tilt),9.010454359688548,-5.707018554954718,0.0,0.0,0.0,0.0
SH-125-A,150,Peak 2a (Tilt),12.27855313491149,-2.4389197797317763,0.0,0.0,0.0,0.0
SH-125-A,150,Peak 2b (Tilt),13.593995033573494,-1.123477881069773,0.6103770760099774,1823.0519386164897,1184.394219097847,0.022904028322843807
SH-125-A,150,Peak 3 (Specular),14.835440658651157,0.11796774400789012,0.6235451463903203,3209.8767497370354,2130.371202349212,0.04487896316687096
SH-125-A,150,Minor Peak A (Tilt),16.810618276162785,2.093145361519518,0.6180971534514467,2888.318876708221,1900.2069615966022,0.045215400489605415
SH-125-A,150,Minor Peak B (Tilt),17.610735275672695,2.8932623610294286,0.5962428530539148,2056.2040244944455,1304.9336006674419,0.032483046531359916
SH-125-A,150,Peak 4 (Tilt),23.199915395040406,8.48244248039714,0.0,0.0,0.0,0.0
SH-125-G,0,Peak 1 (Tilt),10.442645482805398,-4.254247530501871,0.0,0.0,0.0,0.0
SH-125-G,0,Peak 2a (Tilt),11.296654787322591,-3.400238225984678,0.0,0.0,0.0,0.0
SH-125-G,0,Peak 2b (Tilt),12.614618394751538,-2.082274618555731,0.0,0.0,0.0,0.0
SH-125-G,0,Peak 3 (Specular),14.999999999999998,0.30310698669272895,0.6499799999999999,582.6792495875651,403.11463784772207,0.0052384886926875995
SH-125-G,0,Minor Peak A (Tilt),16.800000000000004,2.103106986692735,0.6499799999999999,839.0677285179826,580.4917263668689,0.008424087495380284
SH-125-G,0,Minor Peak B (Tilt),17.703242373127715,3.0063493598204456,0.0,0.0,0.0,0.0
SH-125-G,0,Peak 4 (Tilt),23.11584801918636,8.41895500587909,0.0,0.0,0.0,0.0
SH-125-G,30,Peak 1 (Tilt),10.799999999999999,-3.896261864026373,0.0,0.0,0.0,0.0
SH-125-G,30,Peak 2a (Tilt),12.036188733207858,-2.660073130818514,0.0,0.0,0.0,0.0
SH-125-G,30,Peak 2b (Tilt),13.599999999999998,-1.0962618640263742,0.0,0.0,0.0,0.0
SH-125-G,30,Peak 3 (Specular),14.826275457236717,0.13001359321034478,0.6499799999999999,843.3693274903098,583.4676990192728,0.006314103035791649
SH-125-G,30,Minor Peak A (Tilt),16.800000000000004,2.1037381359736322,0.0,0.0,0.0,0.0
SH-125-G,30,Minor Peak B (Tilt),17.549159896224293,2.8528980321979205,0.0,0.0,0.0,0.0
SH-125-G,30,Peak 4 (Tilt),22.846288020053162,8.15002615602679,0.0,0.0,0.0,0.0
SH-125-G,60,Peak 1 (Tilt),10.777345544461175,-3.9110961402551077,0.6499799341316838,1027.220907489075,710.6615559794365,0.006256985573212709
SH-125-G,60,Peak 2a (Tilt),12.169438943020271,-2.5190027416960117,0.6499799701562802,1482.803955862188,1025.8473296320792,0.010182105251515923
SH-125-G,60,Peak 2b (Tilt),13.236429442502105,-1.4520122422141775,0.6499798616394923,1593.706149066466,1102.5725402346884,0.011886736744831749
SH-125-G,60,Peak 3 (Specular),14.463706521965852,-0.22473516275043082,0.6499799885923678,888.4119937171812,614.6295291532833,0.007228116334055796
SH-125-G,60,Minor Peak A (Tilt),16.99709617201302,2.308654487296737,0.0,0.0,0.0,0.0
SH-125-G,60,Minor Peak B (Tilt),17.898431671768147,3.2099899870518644,0.0,0.0,0.0,0.0
SH-125-G,60,Peak 4 (Tilt),23.196493132821452,8.508051448105169,0.0,0.0,0.0,0.0
